label,benchmark,input_len,output_len,concurrency,ttft_s,decode_tps,total_lat_s,output_tps,req_tps,avg_lat_s,p50_lat_s,p99_lat_s,mean_ttft_s
rocm700_20260319_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,throughput,1024,512,4,18.9446,80.9,NA,80.9,0.1908,18.9446,22.8559,24.0082,18.9446
rocm700_20260319_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,throughput,1024,512,8,28.5913,107.18,NA,107.18,0.2458,28.5914,30.9512,35.6987,28.5913
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,latency,1024,512,1,2.8188,26.55,5.7188
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,latency,1024,1024,1,1.5594,35.5,30.3752
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,latency,8192,512,1,5.7467,23.47,27.5181
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,latency,8192,1024,1,5.5978,23.02,8.6393
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,latency,16384,512,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,latency,16384,1024,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,throughput,1024,512,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,throughput,1024,512,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,throughput,1024,512,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp65536_cgon_fmla0_lpm,throughput,1024,512,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,latency,1024,512,1,4.1387,33.71,19.2995
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,latency,1024,1024,1,1.58,35.81,5.1821
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,latency,8192,512,1,5.7561,23.43,27.5649
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,latency,8192,1024,1,5.6845,23.39,15.9881
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,latency,16384,512,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,latency,16384,1024,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,throughput,1024,512,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,throughput,1024,512,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,throughput,1024,512,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.85_cp131072_cgon_fmla0_lpm,throughput,1024,512,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,latency,1024,512,1,5.4821,33.89,20.5601
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,latency,1024,1024,1,1.5684,35.54,25.5412
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,latency,8192,512,1,5.5944,23.47,27.321
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,latency,8192,1024,1,5.5066,23.43,36.7497
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,latency,16384,512,1,15.4941,16.92,45.5733
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,latency,16384,1024,1,15.7142,16.82,33.0769
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,throughput,1024,512,1,14.1091,34.23,NA,34.23,0.0709,14.1091,14.9269,14.9644,14.1091
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,throughput,1024,512,2,16.1267,57.71,NA,57.71,0.1187,16.1267,16.9939,17.4924,16.1267
